file_id,volume,unit_type,unit_number,title,frequency_key,word_count,source_pdf_pages,est_minutes_150wpm,notes
V01_00_PROLOGUE.txt,1,prologue,0,"The Watcher's Gift. Bohemia, 1267",,1389,9-16,9.3,
V01_01_CHAPTER_ONE.txt,1,chapter,1,The Library Boy,109 Hz · Kansas City,2502,17-28,16.7,
V01_02_CHAPTER_TWO.txt,1,chapter,2,Sister Nadia,109 Hz · Kansas City,1561,29-36,10.4,
V01_03_CHAPTER_THREE.txt,1,chapter,3,The Box,109 Hz · Kansas City,1683,37-44,11.2,
V01_04_CHAPTER_FOUR.txt,1,chapter,4,The Accident,109 Hz · Kansas City,1931,45-54,12.9,
V01_05_CHAPTER_FIVE.txt,1,chapter,5,The Revelation,109 Hz · Kansas City,1812,55-64,12.1,
V01_06_CHAPTER_SIX.txt,1,chapter,6,The Investigation,109 Hz · Kansas City,1428,65-72,9.5,
V01_07_CHAPTER_SEVEN.txt,1,chapter,7,The Deeper Mystery,109 Hz · Kansas City,1515,73-80,10.1,
V01_08_CHAPTER_EIGHT.txt,1,chapter,8,The Key,109 Hz · Kansas City,1046,81-86,7.0,
V01_09_CHAPTER_NINE.txt,1,chapter,9,The Preparation,109 Hz · Kansas City,1034,87-92,6.9,
V01_10_CHAPTER_TEN.txt,1,chapter,10,SubTropolis,109 Hz · Kansas City,2074,93-102,13.8,
V01_11_CHAPTER_ELEVEN.txt,1,chapter,11,The Manuscripts,109 Hz · Kansas City,1646,103-110,11.0,
V01_12_CHAPTER_TWELVE.txt,1,chapter,12,The Pattern Revealed,109 Hz · Kansas City,1159,111-116,7.7,
V01_13_CHAPTER_THIRTEEN.txt,1,chapter,13,Prague,111.2 Hz · Prague,1367,117-124,9.1,
V01_14_CHAPTER_FOURTEEN.txt,1,chapter,14,Nadia's Confession,111.2 Hz · Prague,1025,125-130,6.8,
V01_15_CHAPTER_FIFTEEN.txt,1,chapter,15,The Strahov,111.2 Hz · Prague,1176,131-138,7.8,
V01_16_CHAPTER_SIXTEEN.txt,1,chapter,16,The Keepers Revealed,111.2 Hz · Prague,826,139-144,5.5,
V01_17_CHAPTER_SEVENTEEN.txt,1,chapter,17,The Conference,111.2 Hz · Prague,888,145-150,5.9,
V01_18_CHAPTER_EIGHTEEN.txt,1,chapter,18,Father's Truth,111.2 Hz · Kansas City,850,151-156,5.7,
V01_19_CHAPTER_NINETEEN.txt,1,chapter,19,Return,109 Hz · Kansas City,626,157-160,4.2,
V01_20_CHAPTER_TWENTY.txt,1,chapter,20,The Seven Sites,109 Hz · Kansas City,804,161-166,5.4,
V01_21_CHAPTER_TWENTY-ONE.txt,1,chapter,21,The Choice,109 Hz · Kansas City,940,167-172,6.3,
V01_22_EPILOGUE.txt,1,epilogue,22,One Year Later,— · Coda,3522,173-190,23.5,
