Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
252929307,Masters X: The Complete Trilogy,Jason Carroll  Holloway,"Holloway, Jason Carroll",,"=""""","=""9798256072704""",0,Seventh City Press,Paperback,734,2026,,,2026/07/17,"foucaults-pendulum-readers, literary-conspiracy-thriller, prague-thriller-fiction, voynich-manuscript-fiction, medieval-manuscript-thriller","foucaults-pendulum-readers (#4), literary-conspiracy-thriller (#4), prague-thriller-fiction (#4), voynich-manuscript-fiction (#4), medieval-manuscript-thriller (#4)",read,,,,1,0
253640099,Masters X: The Inheritance of Frequency : Volume One,Jason Carroll  Holloway,"Holloway, Jason Carroll",,"=""""","=""9798256008819""",0,Seventh City Press,Kindle Edition,153,2026,,,2026/07/17,"foucaults-pendulum-readers, literary-conspiracy-thriller, prague-thriller-fiction, voynich-manuscript-fiction, medieval-manuscript-thriller","foucaults-pendulum-readers (#1), literary-conspiracy-thriller (#1), prague-thriller-fiction (#1), voynich-manuscript-fiction (#1), medieval-manuscript-thriller (#1)",read,,,,1,0
253641205,Masters X: The Kingdom : Volume Three,Jason Carroll  Holloway,"Holloway, Jason Carroll",,"=""""","=""9798256009809""",0,Seventh City Press,Kindle Edition,210,2026,,,2026/07/17,"foucaults-pendulum-readers, literary-conspiracy-thriller, prague-thriller-fiction, voynich-manuscript-fiction, medieval-manuscript-thriller","foucaults-pendulum-readers (#3), literary-conspiracy-thriller (#3), prague-thriller-fiction (#3), voynich-manuscript-fiction (#3), medieval-manuscript-thriller (#3)",read,,,,1,0
253641522,Masters X: The Grimoire: Volume Two,Jason Carroll  Holloway,"Holloway, Jason Carroll",,"=""""","=""9798256009625""",0,Seventh City Press,Kindle Edition,277,2026,,,2026/07/17,"foucaults-pendulum-readers, literary-conspiracy-thriller, prague-thriller-fiction, voynich-manuscript-fiction, medieval-manuscript-thriller","foucaults-pendulum-readers (#2), literary-conspiracy-thriller (#2), prague-thriller-fiction (#2), voynich-manuscript-fiction (#2), medieval-manuscript-thriller (#2)",read,,,,1,0
