entity,occurrence_count,books,categories,sample_lines
The Stanford,2,2,proper_noun_phrase,B2:5486|B2:6542
Year Three,2,2,proper_noun_phrase,B2:5543|B2:5544
The Icelandic,2,2,proper_noun_phrase,B2:5925|B2:7433
To Ghana,2,2,proper_noun_phrase,B2:6868|B2:6869
Cave Three,2,2,proper_noun_phrase,B2:6976|B2:7079
The Body,2,3,proper_noun_phrase,B3:19|B3:5384
Volume Two,2,3,proper_noun_phrase,B3:19|B3:5354
The Listening,2,3,proper_noun_phrase,B3:30|B3:5384
Harris Hall,2,3,proper_noun_phrase,B3:249|B3:655
Sofia Petrov,2,3,proper_noun_phrase,B3:304|B3:1145
If Blake,2,3,proper_noun_phrase,B3:495|B3:511
48 Hz,2,3,address,B3:858|B3:3470
440 Hz,2,3,address,B3:866|B3:3475
220 Hz,2,3,address,B3:897|B3:4147
Grand Boulevard,2,3,street;proper_noun_phrase,B3:932|B3:932
Mud Pie Vegan Bakery,2,3,proper_noun_phrase,B3:932|B3:1236
Thom Yorke,2,3,proper_noun_phrase,B3:938|B3:1247
180 Hz,2,3,address,B3:998|B3:1253
Summit,2,3,gazetteer,B3:1384|B3:4763
Acoustic Consciousness,2,3,proper_noun_phrase,B3:1605|B3:1742
The Board,2,3,proper_noun_phrase,B3:1790|B3:1839
But Dr,2,3,street;proper_noun_phrase,B3:2604|B3:2604
Hour Eight,2,3,proper_noun_phrase,B3:2654|B3:2694
Kyoto University,2,3,proper_noun_phrase,B3:3034|B3:3502
Mary Magdalene,2,3,proper_noun_phrase,B3:3424|B3:4808
Buenos Aires,2,3,proper_noun_phrase,B3:3444|B3:3461
Adunni Okafor,2,3,proper_noun_phrase,B3:3559|B3:3621
91 BPM,2,3,address,B3:3678|B3:3729
71 BPM,2,3,address,B3:3803|B3:3808
The October,2,3,proper_noun_phrase,B3:4030|B3:4166
The Moleskines,2,3,proper_noun_phrase,B3:4478|B3:4615
The Volvo,2,3,proper_noun_phrase,B3:4865|B3:4875
Linking Road,2,3,street;proper_noun_phrase,B3:4970|B3:4970
The Lamy,2,3,proper_noun_phrase,B3:5033|B3:5082
The Inheritance,1,1,proper_noun_phrase,B1:2
Holy Father,1,1,proper_noun_phrase,B1:78
Cold War,1,1,proper_noun_phrase,B1:207
1967 Breitling Navitimer,1,1,address,B1:222
What Blake,1,1,proper_noun_phrase,B1:258
Air Force,1,1,proper_noun_phrase,B1:372
Before Blake,1,1,proper_noun_phrase,B1:488
71 Blackbird,1,1,address,B1:627
38 Lightning,1,1,address,B1:627
12 Oxcart,1,1,address,B1:627
Dragon Lady,1,1,proper_noun_phrase,B1:627
Sister Nadia Volkov,1,1,proper_noun_phrase,B1:683
Cognitive Transformation,1,1,proper_noun_phrase,B1:689
The Notory Arts Reconsidered,1,1,proper_noun_phrase,B1:690
Either Sister Nadia Volkov,1,1,proper_noun_phrase,B1:707
The Missouri River Runner,1,1,proper_noun_phrase,B1:711
Main Streets,1,1,proper_noun_phrase,B1:718
The Missouri State Capitol,1,1,proper_noun_phrase,B1:735
Patricia Thornton,1,1,proper_noun_phrase,B1:749
Don Quixote Blake,1,1,proper_noun_phrase,B1:764
For Blake Masters,1,1,proper_noun_phrase,B1:765
For Blake,1,1,proper_noun_phrase,B1:811
The Missouri River,1,1,proper_noun_phrase,B1:864
000 BC,1,1,address,B1:887
Grandpa William,1,1,proper_noun_phrase,B1:908
15 Missouri River Runner,1,1,address,B1:919
Missouri River Runner,1,1,proper_noun_phrase,B1:919
To Nadia,1,1,proper_noun_phrase,B1:933
For God,1,1,proper_noun_phrase,B1:934
Watched Missouri,1,1,proper_noun_phrase,B1:936
Home Depot,1,1,proper_noun_phrase,B1:969
The Miller Nichols Library,1,1,proper_noun_phrase,B1:992
Religious Studies,1,1,proper_noun_phrase,B1:1003
Comparative Religion,1,1,proper_noun_phrase,B1:1003
