Title,Author,Format,ISBN,"IngramSpark Subject Rank","Units Sold"
"Masters X: The Complete Trilogy","Holloway, Jason    Carroll",Hardcover,"=""9798295884412""","#367 in FICTION / Thrillers / Suspense",4
"Innocence, Desire, and the Architecture of the Fall: The Grape and Its Counter-Symbols in the Fiction of John Hawkes","Holloway, Jason Carroll",Hardcover,"=""9798349308444""","#5 in LITERARY CRITICISM / American / General",2
"Masters X: The Complete Trilogy","Holloway, Jason    Carroll",Paperback,"=""9798256072704""","#967 in FICTION / Thrillers / Suspense",1
